procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 218516  80288 2093716    0    0     0   120 5185 7563  5  5 89  1  0  0
 0  0      0 218264  80292 2093732    0    0     0   244 6093 9129  6  5 88  0  0  0
 2  1      0 218264  80292 2093732    0    0     0    28 5078 7804  4  4 92  0  0  0
 0  0      0 218264  80300 2093736    0    0     0   108 6056 8806  6  5 88  0  0  0
 0  0      0 218264  80300 2093736    0    0     0    20 5231 7813  5  5 90  0  0  0
 4  0      0 218264  80304 2093744    0    0     0   140 5207 7583  5  5 90  0  0  0
 0  0      0 218012  80304 2093744    0    0     0    28 5937 8817  6  6 88  0  0  0
 0  0      0 218012  80304 2093752    0    0     0    92 5984 8752  6  6 88  0  0  0
 1  0      0 218012  80308 2093748    0    0     0    60 4692 6713  5  6 89  0  0  0
 0  0      0 218012  80312 2093760    0    0     0   140 5414 7887  5  6 88  1  0  0
 0  0      0 218012  80312 2093760    0    0     0    68 4545 6632  4  5 91  0  0  0
 0  0      0 217760  80312 2093768    0    0     0   160 8347 12442 11  9 79  1  0  0
 0  0      0 222856  80312 2093768    0    0     0    24 5000 7668  5  5 90  0  0  0
 1  0      0 222604  80316 2093776    0    0     0   268 4764 6905  5  5 90  1  0  0
 0  0      0 222380  80316 2093776    0    0     0    68 5885 8695  5  5 89  0  0  0
 1  0      0 222380  80320 2093784    0    0     0   148 5420 7682  6  4 88  2  0  0
 0  0      0 222128  80320 2093784    0    0     0     0 4203 6322  4  4 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 222128  80324 2093916    0    0   128   112 4940 7403  4  4 90  1  0  0
 0  1      0 222128  80324 2093916    0    0     0    24 4533 6779  4  4 91  1  0  0
 1  0      0 222128  80328 2093924    0    0     0   120 5582 8004  6  6 87  1  0  0
 2  0      0 222128  80328 2093928    0    0     0    40 4485 6711  4  4 92  1  0  0
 0  0      0 221876  80332 2093936    0    0     0   168 6994 10690  6  7 83  4  0  0
 0  1      0 221876  80332 2093936    0    0     0    20 5673 8725  4  5 90  0  0  0
 0  0      0 221876  80332 2093940    0    0     0   140 4938 7214  4  4 91  1  0  0
 0  0      0 221876  80332 2093940    0    0     0   144 5125 7776  5  4 90  1  0  0
 0  0      0 221876  80340 2093940    0    0     0   152 5218 7189  6  6 88  1  0  0
 1  0      0 221400  80340 2093952    0    0     0     0 7288 11247  6  8 86  0  0  0
 0  0      0 221400  80344 2093952    0    0     0   152 4749 6837  5  4 91  0  0  0
 0  0      0 221400  80344 2093956    0    0     0     0 4246 6268  4  4 92  0  0  0
 0  0      0 221400  80344 2093960    0    0     0   184 5128 7412  5  5 89  1  0  0
 1  0      0 221400  80344 2093964    0    0     0    44 4816 7116  4  5 91  0  0  0
 1  0      0 221148  80348 2093964    0    0     0   168 6555 9741  6  6 88  0  0  0
 0  0      0 221148  80348 2093972    0    0     0     8 4969 7725  4  5 91  0  0  0
 0  0      0 221148  80348 2093984    0    0     0   188 6033 8679  6  6 87  1  0  0
 0  0      0 221148  80348 2093988    0    0     0    20 4869 7237  4  5 91  0  0  0
 0  0      0 220644  80348 2093992    0    0     0   152 5104 7033  6  6 88  0  0  0
 0  0      0 220644  80348 2093992    0    0     0    28 5171 7652  6  5 88  0  0  0
 2  0      0 222444  80352 2093988    0    0     0   104 4504 5589 21  5 74  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 222444  80352 2093996    0    0     0    20 4292 6207  3  5 91  0  0  0
 0  0      0 222204  80352 2094004    0    0     0   132 5631 7915  6  7 87  0  0  0
 1  0      0 222204  80352 2094004    0    0     0    40 4287 6252  4  4 93  0  0  0
 3  1      0 221196  80364 2094016    0    0     0   300 7871 12052  7  8 84  1  0  0
 0  0      0 221196  80364 2094016    0    0     0    48 5534 8335  6  5 89  0  0  0
 2  0      0 220972  80372 2094020    0    0     0   136 5070 7215  5  5 89  0  0  0
 0  0      0 220972  80372 2094020    0    0     0    48 5620 8360  4  6 89  0  0  0
 0  0      0 220972  80376 2094016    0    0     0   120 5560 8074  5  5 89  0  0  0
 0  0      0 220972  80384 2094028    0    0     0   148 4797 7118  5  4 91  0  0  0
 0  0      0 220972  80384 2094032    0    0     0    32 4893 7038  6  4 89  1  0  0
 0  0      0 220972  80384 2094040    0    0     0    60 4743 7192  4  4 91  1  0  0
 3  1      0 220972  80384 2094040    0    0     0    88 4819 7056  5  5 88  2  0  0
 0  1      0 220972  80388 2094044    0    0     0   100 5614 8376  4  5 89  2  0  0
 0  0      0 220972  80388 2094044    0    0     0    56 6374 9776  6  6 86  1  0  0
 1  0      0 220748  80392 2094048    0    0     0   112 6254 9101 11  6 82  1  0  0
