procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 543580  81280 2027572    0    0     0   108 3945 5910  3  3 94  0  0  0
 0  0      0 543580  81280 2027572    0    0     0    96 4690 6861  3  5 91  0  0  0
 1  0      0 543580  81280 2027572    0    0     0   148 3888 5769  3  3 93  1  0  0
 0  0      0 543580  81280 2027576    0    0     0    24 4012 5991  4  4 93  0  0  0
 0  0      0 543580  81280 2027588    0    0     0   108 5534 8369  5  5 90  0  0  0
 0  0      0 543580  81280 2027588    0    0     0    24 3637 5541  2  4 94  0  0  0
 5  0      0 543580  81288 2027580    0    0     0   180 5171 7561  4  5 91  0  0  0
 0  0      0 543580  81288 2027596    0    0     0   188 4840 6898  4  5 91  1  0  0
 1  0      0 543580  81288 2027600    0    0     0   136 4065 5828  4  4 92  1  0  0
 2  0      0 543580  81288 2027600    0    0     0   132 4097 5901  3  4 92  1  0  0
 0  0      0 543580  81288 2027604    0    0     0    84 4188 6220  4  3 93  0  0  0
 0  0      0 543580  81288 2027612    0    0     0    88 4419 6519  3  5 92  1  0  0
 1  0      0 543580  81288 2027616    0    0     0   144 3648 5415  3  3 94  0  0  0
 0  0      0 543580  81288 2027620    0    0     0    24 4883 7389  3  5 92  0  0  0
 0  0      0 543832  81288 2027620    0    0     0   112 5773 8576  6  6 86  2  0  0
 0  0      0 543832  81288 2027624    0    0     0    24 4893 7266  3  5 91  0  0  0
 0  0      0 543832  81288 2027624    0    0     0   152 4913 7373  3  4 88  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 543832  81288 2027628    0    0     0   160 5199 7447  4  5 87  3  0  0
 0  0      0 543832  81288 2027632    0    0     0   132 4726 7211  3  4 91  2  0  0
 0  0      0 543832  81288 2027640    0    0     0    48 4814 7140  4  4 92  0  0  0
 0  0      0 543832  81288 2027648    0    0     0   156 4603 6629  7  4 89  1  0  0
 0  0      0 543832  81288 2027652    0    0     0    60 4717 6867  3  6 91  0  0  0
 1  0      0 543832  81288 2027652    0    0     0   168 4755 7148  4  3 93  1  0  0
 0  0      0 543832  81288 2027656    0    0     0    24 4654 6871  4  5 91  0  0  0
 1  0      0 543832  81292 2027652    0    0     0   124 4939 7400  4  4 91  1  0  0
 0  0      0 543832  81292 2027664    0    0     0    24 5334 8078  3  6 91  0  0  0
 4  0      0 543584  81292 2027664    0    0     0   136 4315 5592 14  4 81  1  0  0
 1  0      0 566676  81300 2027676    0    0     0   164 5286 7060 10  6 83  1  0  0
 0  0      0 566788  81300 2027680    0    0     0   132 5010 7521  4  4 92  1  0  0
 1  0      0 567132  81300 2027680    0    0     0   176 4477 6673  3  5 93  0  0  0
 1  0      0 566880  81300 2027680    0    0     0   200 4863 7273  3  4 92  1  0  0
 4  0      0 566632  81300 2027688    0    0     0    80 4965 7217  4  5 91  0  0  0
 0  0      0 567136  81304 2027692    0    0     0   144 4254 6263  3  4 93  1  0  0
 0  0      0 566888  81304 2027696    0    0     0    24 4166 6146  3  4 92  0  0  0
 0  0      0 566636  81312 2027696    0    0     0   144 5773 8341  6  6 88  0  0  0
 0  0      0 566384  81312 2027704    0    0     0    24 4804 7336  3  4 92  0  0  0
 0  0      0 566384  81312 2027704    0    0     0   128 4546 6486  4  5 91  1  0  0
 0  0      0 566132  81316 2027708    0    0     0   180 4801 6700  5  5 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 566332  81320 2027708    0    0     0   256 4633 6709  3  4 92  1  0  0
 0  0      0 566332  81320 2027720    0    0     0    72 4259 5999  3  5 92  0  0  0
 2  0      0 566332  81320 2027720    0    0     0   156 4872 7186  3  5 91  1  0  0
 1  0      0 566332  81320 2027724    0    0     0    68 4844 7186  4  5 90  1  0  0
 2  0      0 566332  81324 2027724    0    0     0   124 4803 7196  3  5 90  3  0  0
 0  0      0 566584  81324 2027728    0    0     0    52 5150 7697  5  5 89  1  0  0
 0  0      0 566836  81324 2027732    0    0     0   120 4686 7091  3  4 92  1  0  0
 2  0      0 566836  81324 2027736    0    0     0    56 5329 7883  5  6 88  1  0  0
 0  0      0 566984  81328 2027732    0    0     0   116 4525 6815  3  3 92  2  0  0
 1  0      0 567088  81328 2027748    0    0     0   208 5102 7140  5  5 88  2  0  0
 2  0      0 567088  81328 2027748    0    0     0   104 3857 5769  3  3 94  0  0  0
 0  0      0 567088  81328 2027756    0    0     0   132 4428 6604  3  4 93  0  0  0
 5  0      0 567088  81328 2027756    0    0     0    72 4135 6036  3  4 93  0  0  0
 1  0      0 567088  81332 2027764    0    0     0   248 5697 8093  5  6 89  0  0  0
 0  0      0 567236  81332 2027764    0    0     0    88 4007 6016  2  4 94  0  0  0
