procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 238092  79884 2092156    0    0     0   232 6154 8574  6  7 87  1  0  0
 0  0      0 222468  79884 2092160    0    0     0   224 7631 11262 11 10 79  0  0  0
 1  0      0 228504  79884 2092164    0    0     0   108 9727 14863 14 12 73  0  0  0
 2  0      0 219848  79884 2092164    0    0     0    76 5299 6942  6  6 88  0  0  0
 2  0      0 242308  79884 2092176    0    0     0   136 7547 10988 12 10 78  1  0  0
 0  0      0 256968  79884 2092176    0    0     0   108 7784 11481 12  9 79  0  0  0
 1  0      0 247656  79884 2092180    0    0     0   112 6503 9252  9  9 83  0  0  0
 0  0      0 242628  79884 2092180    0    0     0   100 6400 9443  8  7 85  0  0  0
 1  0      0 240868  79884 2092184    0    0     0    88 8298 11372 14 12 74  0  0  0
 5  0      0 219952  79884 2092188    0    0     0   208 7332 10499 11  9 80  1  0  0
 2  0      0 228016  79888 2092192    0    0     0   184 6414 9228  7  7 86  1  0  0
 0  0      0 232660  79888 2092200    0    0     0   136 10675 16300 23 20 56  0  0  0
 2  0      0 216784  79888 2092204    0    0     0    80 8948 12745 14 12 74  0  0  0
 0  0      0 224848  79888 2092208    0    0     0   204 5682 8242  5  6 89  1  0  0
 1  0      0 233704  79888 2092208    0    0     0    96 9522 13555 18 15 66  2  0  0
 0  0      0 231812  79888 2092212    0    0     0   176 9713 13777 17 13 67  3  0  0
 1  1      0 233844  79888 2092216    0    0     0    80 5927 8834  6  6 87  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 236900  79888 2092220    0    0     0    84 8046 11621 12 11 71  6  0  0
 0  0      0 232928  79888 2092228    0    0     0   124 10185 15852 23 18 58  0  0  0
 2  0      0 229652  79888 2092236    0    0     0   164 5891 8232  6  6 87  0  0  0
 1  0      0 249956  79888 2092244    0    0     0   160 8197 11857 12 11 77  0  0  0
 2  0      0 244784  79892 2092308    0    0    64   112 9429 13514 16 13 71  1  0  0
 1  0      0 251032  79892 2092316    0    0     0   288 9945 14480 15 14 70  0  0  0
 0  0      0 250304  79900 2092316    0    0     0    88 6570 9470  9  8 83  0  0  0
