procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  5      0 169548  86464 2348192    0    0     0   868 15100 22537  5  6 10 80  0  0
 2  4      0 168812  86464 2348192    0    0     0   136 3886 5929  4  3 13 80  0  0
 1  7      0 172980  86464 2348192    0    0     0   664 6173 9544  5  6 10 79  0  0
 0  8      0 173208  86476 2348212    0    0     0  2996 8110 12373  6  7  5 82  0  0
 0  3      0 172704  86476 2348220    0    0     0  8984 8318 12231  4  5 20 71  0  0
 0  3      0 175704  86476 2348256    0    0     0   344 4962 7380  5  7 43 46  0  0
 0  2      0 175608  86476 2348272    0    0     0  2584 4363 6649  4  4 46 46  0  0
 1  4      0 175640  86496 2348284    0    0     0 13228 5106 7626  5  6 39 51  0  0
 1  5      0 175640  86496 2348284    0    0     0     4 4329 6679  4  3 23 69  0  0
 0  8      0 175640  86496 2348288    0    0     0   680 5837 9101  4  5  2 88  0  0
 0  8      0 175640  86496 2348288    0    0     0    44 4739 7181  4  4  0 92  0  0
 1  8      0 175640  86496 2348296    0    0     0     0 4775 7108  4  4  0 91  0  0
 0  8      0 175672  86496 2348296    0    0     0    60 6639 9719 19  7  0 74  0  0
 0 10      0 176132  86496 2348296    0    0     0     0 3985 5923  3  4  0 92  0  0
 1  6      0 176132  86500 2348444    0    0     0   460 4389 6610  4  5  0 92  0  0
 0  6      0 176132  86504 2348456    0    0     0  2136 5386 7728  5  7 11 77  0  0
 2  4      0 176132  86504 2348476    0    0     0  2836 12714 19397  4  5 10 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  4      0 176132  86504 2348484    0    0     0   260 5039 7752  5  5 23 68  0  0
 3  9      0 176132  86504 2348488    0    0     0   504 4769 6876  6  5 22 67  0  0
 2  4      0 175656  86508 2348492    0    0     0  8344 12814 19865  4  6  6 84  0  0
 4  3      0 175656  86508 2348716    0    0     0  1536 5032 7507  4  5 32 58  0  0
 2  3      0 175656  86508 2348716    0    0     0   204 4398 6788  4  3 47 47  0  0
 0  9      0 175656  86508 2348720    0    0     0   256 4007 6068  4  4 32 60  0  0
 2  6      0 175404  86508 2348736    0    0     0   416 18986 28778  4  4  5 86  0  0
 0  8      0 175604  86508 2348736    0    0     0  2196 4692 6878  4  5 16 75  0  0
 0  4      0 174876  86508 2348768    0    0     0   780 11828 18313  6  7 12 75  0  0
 1  3      0 177388  86508 2348772    0    0     0   428 5420 8197  4  5 37 53  0  0
 1 10      0 177148  86524 2348776    0    0     0  1168 7570 11626  3  4  9 84  0  0
 5  2      0 179712  86524 2348792    0    0     0   984 10183 15157  4  5 24 67  0  0
 2  0      0 709024  86524 2348748    0    0     0  5932 5484 6625  7 19 74  0  0  0
 0  1      0 730652  86528 2348744    0    0     4  1912 3386 4148  5  4 79 12  0  0
 0  0      0 730404  86528 2348760    0    0     0  5512 2575 3431  2  3 74 22  0  0
 0  0      0 730404  86528 2348760    0    0     0   768 2079 3004  2  1 97  0  0  0
 0  3      0 730404  86528 2348760    0    0     0  1212 2409 3212  2  2 78 18  0  0
 1  1      0 674464  86540 2365612    0    0     0  8344 6726 8222  8  9 41 42  0  0
 0  1      0 674240  86540 2365612    0    0     0  9388 2154 3006  2  2 72 24  0  0
 0  1      0 674240  86540 2365612    0    0     0     0 2191 2989  2  2 73 24  0  0
 0  1      0 674240  86540 2365616    0    0     0   796 2324 3197  2  2 72 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  3      0 673988  86540 2365624    0    0     0   440 4185 5689  2  2 12 84  0  0
 2  2      0 673988  86540 2365624    0    0     0   484 2448 3222  1  2 54 43  0  0
